Date,Open,High,Low,Close,Volume
2026-03-27,2371.74,2389.7,2353.09,2357.83,4979411
2026-03-30,2343.33,2365.92,2314.81,2327.34,6804756
2026-04-01,2396.51,2438.93,2365.82,2375.98,4132661
2026-04-02,2354.08,2436.86,2343.92,2417.92,5378361
2026-04-06,2440.9,2448.8,2415.45,2440.8,2572417
2026-04-07,2428.08,2509.87,2415.25,2505.82,4516550
2026-04-08,2537.59,2545.78,2506.12,2524.96,4769337
2026-04-09,2519.83,2570.15,2497.24,2554.37,5628261
2026-04-10,2531.48,2531.48,2467.64,2490.53,10480239
2026-04-13,2456.59,2471.39,2436.96,2439.52,3739587
2026-04-15,2468.43,2524.77,2460.04,2520.72,5261384
2026-04-16,2537.59,2559.3,2523.78,2542.43,3905403
2026-04-17,2535.62,2554.37,2521.71,2546.97,2718206
2026-04-20,2552.49,2559.3,2526.94,2545.09,2288558
2026-04-21,2525.75,2579.03,2525.75,2575.58,2719959
2026-04-22,2545.49,2545.49,2470.11,2504.54,5232045
2026-04-23,2495.17,2525.26,2482.64,2488.06,2509050
2026-04-24,2454.72,2471.49,2356.84,2364.83,5107719
2026-04-27,2364.83,2426.1,2364.83,2414.86,5853425
2026-04-28,2411.31,2453.73,2394.93,2412.0,4508363
2026-04-29,2418.21,2454.62,2414.86,2441.59,2835961
2026-04-30,2445.84,2457.68,2405.39,2440.8,3970446
2026-05-01,2440.8,2440.8,2440.8,2440.8,0
2026-05-04,2460.64,2464.88,2392.56,2398.77,2632358
2026-05-05,2397.49,2427.49,2379.93,2394.83,3385720
2026-05-06,2409.23,2437.94,2374.31,2402.82,3147628
2026-05-07,2405.58,2407.06,2365.92,2369.27,5829594
2026-05-08,2365.92,2374.8,2343.33,2362.37,3792199
2026-05-11,2339.28,2382.69,2339.28,2360.89,1975188
2026-05-12,2343.23,2343.23,2252.46,2269.53,6347884
2026-05-13,2275.15,2278.31,2238.65,2242.4,3171843
2026-05-14,2234.7,2234.7,2176.88,2215.95,5633313
2026-05-15,2221.87,2274.07,2221.87,2233.71,3410637
2026-05-18,2233.71,2262.23,2222.07,2252.66,3773336
2026-05-19,2269.23,2345.79,2266.37,2295.97,10394707
2026-05-20,2292.81,2310.67,2286.79,2296.26,2537422
2026-05-21,2299.82,2304.65,2283.04,2296.07,3299087
2026-05-22,2299.92,2308.7,2277.22,2286.3,2617262
2026-05-25,2325.0,2326.1,2293.0,2308.2,3298364
2026-05-26,2308.2,2327.9,2272.4,2276.2,3587597
2026-05-27,2275.0,2295.6,2260.9,2284.2,2653950
2026-05-28,2284.2,2284.2,2284.2,2284.2,0
2026-05-29,2291.0,2334.0,2235.0,2258.9,16331582
2026-06-01,2284.0,2335.0,2280.0,2297.4,7505095
2026-06-02,2320.0,2457.4,2316.2,2446.9,11306127
2026-06-03,2393.0,2393.0,2224.8,2241.7,15660062
2026-06-04,2241.7,2253.1,2216.6,2241.0,4867263
2026-06-05,2262.9,2271.8,2192.0,2198.9,5019717
2026-06-08,2170.0,2177.0,2143.3,2151.4,6536734
2026-06-09,2174.0,2174.0,2132.8,2151.0,4148655
2026-06-10,2151.3,2180.8,2144.8,2153.9,2848650
2026-06-11,2127.0,2154.6,2110.0,2135.6,3079815
2026-06-12,2150.0,2168.0,2138.0,2161.4,2124656
2026-06-15,2192.0,2192.0,2159.3,2162.0,3337083
2026-06-16,2167.0,2209.0,2160.6,2199.0,3079898
2026-06-17,2209.0,2231.0,2200.7,2223.0,2865010
2026-06-18,2209.0,2214.0,2182.0,2203.3,3735188
2026-06-19,2105.0,2138.0,2059.9,2125.0,13286502
2026-06-22,2132.2,2157.0,2121.0,2127.8,4566101
2026-06-23,2111.0,2114.0,2055.0,2059.6,6392736
2026-06-24,2061.0,2120.7,2061.0,2109.0,4747277
2026-06-25,2133.6,2148.5,2088.0,2094.7,4738903
2026-06-29,2090.0,2094.7,2071.0,2079.5,1342880
