Date,Open,High,Low,Close,Volume
2026-02-24,1273.44,1275.99,1237.32,1248.48,27839061
2026-02-25,1258.96,1295.56,1258.96,1262.77,16669618
2026-02-26,1277.85,1286.17,1259.05,1261.8,11493914
2026-02-27,1298.21,1306.72,1266.79,1272.56,23141724
2026-03-02,1263.66,1271.29,1246.04,1261.6,9700361
2026-03-04,1264.63,1289.1,1264.63,1279.71,15154950
2026-03-05,1292.04,1292.04,1262.77,1278.14,10362147
2026-03-06,1275.4,1299.09,1275.4,1280.69,8724291
2026-03-09,1262.68,1290.08,1255.34,1287.15,10068514
2026-03-10,1292.04,1293.02,1256.9,1268.16,9600171
2026-03-11,1260.72,1271.98,1244.37,1249.27,7868891
2026-03-12,1245.55,1251.52,1231.35,1238.99,7599940
2026-03-13,1224.5,1242.71,1216.28,1221.86,7366098
2026-03-16,1213.93,1227.73,1198.27,1223.33,12314450
2026-03-17,1218.63,1218.63,1189.36,1206.79,11223276
2026-03-18,1211.78,1263.46,1208.74,1240.26,12365381
2026-03-19,1217.85,1228.42,1189.36,1194.94,9156461
2026-03-20,1215.69,1238.01,1203.16,1229.3,27299975
2026-03-23,1211.97,1234.39,1201.4,1230.18,12420293
2026-03-24,1242.12,1269.53,1224.5,1251.22,13613495
2026-03-25,1243.1,1263.26,1230.47,1252.01,10824030
2026-03-27,1257.98,1267.37,1236.44,1242.81,13092541
2026-03-30,1223.52,1238.7,1216.67,1224.11,14108486
2026-04-01,1262.68,1275.4,1242.61,1248.68,8137156
2026-04-02,1233.31,1277.75,1233.12,1273.25,12873492
2026-04-06,1273.84,1292.04,1271.49,1278.53,10208682
2026-04-07,1274.42,1316.61,1266.1,1311.03,15355792
2026-04-08,1320.43,1347.74,1302.81,1317.69,16030133
2026-04-09,1301.73,1309.17,1286.17,1303.4,14894607
2026-04-10,1290.08,1290.96,1256.12,1265.12,19233369
2026-04-13,1245.06,1261.7,1238.89,1249.76,10366082
2026-04-15,1278.63,1294.49,1272.95,1277.65,12098912
2026-04-16,1294.1,1302.81,1281.27,1291.26,18527029
2026-04-17,1285.19,1300.17,1278.44,1290.77,12064048
2026-04-20,1292.04,1296.84,1280.39,1284.8,7172300
2026-04-21,1282.25,1296.94,1271.78,1285.39,10057440
2026-04-22,1267.57,1270.21,1229.3,1241.73,20088378
2026-04-23,1227.44,1238.89,1200.03,1214.32,14792854
2026-04-24,1174.58,1197.98,1127.8,1130.14,42078914
2026-04-27,1130.14,1154.91,1130.05,1145.51,19579883
2026-04-28,1138.07,1144.63,1125.45,1127.7,12720276
2026-04-29,1133.96,1153.24,1132.3,1142.77,8303109
2026-04-30,1142.77,1164.6,1135.04,1156.77,12205669
2026-05-01,1156.77,1156.77,1156.77,1156.77,0
2026-05-04,1169.69,1169.69,1140.52,1143.65,7735811
2026-05-05,1144.73,1160.1,1135.53,1153.15,8164108
2026-05-06,1161.86,1166.26,1139.44,1142.48,9856963
2026-05-07,1148.15,1150.5,1134.65,1138.07,12013987
2026-05-08,1136.41,1158.43,1134.26,1154.22,7582770
2026-05-11,1151.09,1161.86,1147.27,1152.07,7336288
2026-05-12,1137.39,1137.39,1099.21,1116.15,16891948
2026-05-13,1112.53,1118.4,1097.26,1099.31,6664111
2026-05-14,1096.08,1098.14,1065.93,1071.81,16914842
2026-05-15,1078.66,1109.2,1078.27,1095.3,17482450
2026-05-18,1095.3,1121.82,1094.32,1118.3,12096377
2026-05-19,1137.39,1173.02,1137.39,1171.55,32175705
2026-05-20,1161.86,1181.34,1159.8,1168.42,15121010
2026-05-21,1170.77,1176.34,1152.07,1156.18,10021033
2026-05-22,1157.45,1166.56,1147.67,1149.62,8803066
2026-05-25,1157.94,1159.9,1141.4,1143.75,5856136
2026-05-26,1141.6,1155.69,1138.27,1142.97,8005767
2026-05-27,1136.41,1142.58,1130.54,1135.33,6371871
2026-05-28,1135.33,1135.33,1135.33,1135.33,0
2026-05-29,1156.96,1184.37,1129.17,1136.31,69085430
2026-06-01,1150.11,1191.22,1148.84,1177.03,19439331
2026-06-02,1206.39,1251.81,1206.39,1243.88,36032600
2026-06-03,1215.79,1223.43,1190.24,1196.7,18534303
2026-06-04,1182.41,1189.46,1170.86,1175.86,12755957
2026-06-05,1194.16,1197.88,1169.0,1172.14,8692290
2026-06-08,1152.56,1175.27,1151.58,1162.45,8631711
2026-06-09,1168.32,1168.32,1142.58,1155.3,10984054
2026-06-10,1160.1,1171.4,1143.3,1145.3,8887626
2026-06-11,1129.7,1133.7,1109.0,1114.6,9372176
2026-06-12,1120.0,1123.3,1111.5,1116.4,8075333
2026-06-15,1130.0,1151.0,1123.0,1134.9,7856192
2026-06-16,1136.9,1153.8,1123.2,1143.6,10456090
2026-06-17,1149.0,1162.5,1148.0,1157.7,5995119
2026-06-18,1142.9,1142.9,1125.3,1127.5,16781447
2026-06-19,1062.3,1066.0,1030.0,1051.4,45665442
2026-06-22,1055.0,1080.3,1055.0,1065.4,10178505
2026-06-23,1053.8,1055.3,1026.0,1029.3,19323064
2026-06-24,1040.9,1065.5,1037.7,1056.6,12346266
2026-06-25,1065.0,1068.0,1039.1,1041.2,15866779
2026-06-29,1037.1,1046.6,1029.1,1031.1,5711907
